Title,Description,Image,Emotion
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",static/data/movies/The Shawshank Redemption,anger
The Dark Knight,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",static/data/movies/The Dark Knight,tentative
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,static/data/movies/Inception,joy
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",static/data/movies/Fight Club,anger
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",static/data/movies/Pulp Fiction,joy
Forrest Gump,"The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",static/data/movies/Forrest Gump,confident
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,static/data/movies/The Lord of the Rings: The Fellowship of the Ring,sadness
The Matrix,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,static/data/movies/The Matrix,anger
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,static/data/movies/The Lord of the Rings: The Return of the King,anger
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,static/data/movies/The Godfather,joy
The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",static/data/movies/The Dark Knight Rises,tentative
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",static/data/movies/The Lord of the Rings: The Two Towers,sadness
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",static/data/movies/Se7en,tentative
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,static/data/movies/Gladiator,tentative
Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",static/data/movies/Django Unchained,fear
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",static/data/movies/Batman Begins,sadness
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,static/data/movies/The Avengers,analytical
Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the evil Darth Vader.",static/data/movies/Star Wars,analytical
The Silence of the Lambs,"A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",static/data/movies/The Silence of the Lambs,tentative
Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",static/data/movies/Inglourious Basterds,joy
Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",static/data/movies/Saving Private Ryan,tentative
Schindler's List,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.",static/data/movies/Schindler's List,joy
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,static/data/movies/The Departed,confident
The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",static/data/movies/The Prestige,tentative
Star Wars: Episode V - The Empire Strikes Back,"After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.",static/data/movies/Star Wars: Episode V - The Empire Strikes Back,anger
Avatar,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,static/data/movies/Avatar,anger
Memento,A man with short-term memory loss attempts to track down his wife's murderer.,static/data/movies/Memento,tentative
Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.",static/data/movies/Shutter Island,tentative
The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",static/data/movies/The Green Mile,tentative
American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,static/data/movies/American Beauty,analytical
The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",static/data/movies/The Godfather: Part II,anger
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",static/data/movies/Pirates of the Caribbean: The Curse of the Black Pearl,fear
V for Vendetta,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",static/data/movies/V for Vendetta,fear
American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,static/data/movies/American History X,anger
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",static/data/movies/Titanic,analytical
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",static/data/movies/Back to the Future,sadness
Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Lon, a professional assassin, after her family is murdered. Lon and Mathilda form an unusual relationship, as she becomes his protge and learns the assassin's trade.",static/data/movies/Léon,joy
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",static/data/movies/The Usual Suspects,tentative
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",static/data/movies/Terminator 2: Judgment Day,analytical
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",static/data/movies/Kill Bill: Vol. 1,joy
WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",static/data/movies/WALL·E,confident
Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",static/data/movies/Goodfellas,anger
Braveheart,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.",static/data/movies/Braveheart,tentative
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",static/data/movies/Finding Nemo,sadness
Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.",static/data/movies/Star Wars: Episode VI - Return of the Jedi,analytical
The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,static/data/movies/The Sixth Sense,analytical
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",static/data/movies/Iron Man,tentative
Up,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",static/data/movies/Up,fear
The Truman Show,An insurance salesman/adjuster discovers his entire life is actually a television show.,static/data/movies/The Truman Show,confident
One Flew Over the Cuckoo's Nest,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,static/data/movies/One Flew Over the Cuckoo's Nest,tentative
