ID,Name,Artist,Album,Year,Emotion
SOQERJP12A8C14130F,Everyone (LP Version),Socialburn,Where You Are,2003,discontent
SOPOJSW12AC468C5D5,Ville Eyolf,Black Debbath,Naar Vi D\xc3\xb8de Rocker,2006,discontent
SOXNNAL12AB0182E8A,Show a Sign of Life,High Strung_ The,These Are Good Times,2003,angry
SOCXWEG12A6D4FBEA3,I Am Fred Astaire (Album Version),Taking Back Sunday,Where You Want To Be,2004,angry
SOSXJSF12A8C13DD2D,Beautiful,Christina Aguilera,Dance Vault Remixes - Beautiful,2002,angry
SOWTMAZ12A58A7DA40,We All Need Love,Irma Thomas,The Story Of My Life,2008,discontent
SOQZCRW12AC468B0C0,Memphis Jug,Memphis Jug Band,The Best Of The Memphis Jug Band,2001,angry
SOGBEWD12A8C1427C8,Traffic,Truckfighters,Phi,2007,angry
SOZCWXS12AB018514C,Eight (Album Version),Onesidezero,Is This Room Getting Smaller?,2001,sad
SOUOMRB12AB017EBE9,Within My Blood,Skeletonwitch,Beyond the Permafrost,2004,angry
SOQCJNI12A8C142188,Same Game,Leigh Jones,Music in My Soul,2008,contemplative
SOCLYJV12A8C13F5DC,Where We Are From,Lexie Mountain Boys,Sexy Fountain Noise,2006,discontent
SOYNTSK12AB0184C2F,Danger! She's A Stranger,The Five Stairsteps,Cameo Parkway 1957-1967,2005,sad
SOJKYRI12A58A7D06C,Frieda,David Benoit,Here's To You Charlie Brown - 50 Great Years!,2000,angry
SOFBCXN12A8C13C8C8,Pick Me Up On Your Way Down,Martina McBride,Timeless,2005,hopeful
SOHIHSR12AB0184E8F,Everyone's At It,Lily Allen,It's Not Me_ It's You,2009,sad
SOPMAEU12A67AE0C81,The World Turned Upside Down,Coldplay,Fix You,2005,afraid
SOWFOWK12A6D4F669C,The Fourth Wish,Bruno Sanfilippo,The New Kingdom,2006,angry
SOWPBNN12AB01848B1,Well Oh Well,Tiny Bradshaw,The History of Rhythm and Blues - Disc 3,2004,sad
SOBPRCW12AB0186D3E,Assassin,Floor,Below & Beyond,2002,happy
SOXIIPZ12A8C13EDC0,Is It The Skin I'm In?,Lyrics Born,Everywhere At Once,2008,sad
SOGSOTK12A6D4FA596,Josephine (French Edit),Chris Rea,Weekend Songs,2008,contemplative
SOLLXZJ12A6D4F96B0,I Constantly Thank God For Esteban (Album Version),Panic! At The Disco,A Fever You Can't Sweat Out,2005,angry
SOAFQZW12A58A77CA5,Ju Ju,Poncho Sanchez,Latin Spirits,2001,angry
SODIOXW12A6D4FD0D3,Bystander (Album Version),unloco,Healing,2001,angry
SOQPGCD12A8C13CF85,Ain`t got nothing ( feat. David Banner & Eddy Soulo ),Samy Deluxe,So Deluxe So Glorious,2005,contemplative
SOPWCJF12AB0183997,Old Man Rocking Chair,John Williams,Dusty Porch,2004,discontent
SOADCFY12A6310E353,Rock The House (Radio Edit),Gorillaz,G-Sides,2001,angry
