ID,Name,Artist,Album,Year,Tempo,Energy,Key,Pitch,MFCC,Mode
SORSEYK12AB01870D6,My Pillow,Roger Miller,Country In My Pillow,0,37.965,0.0,11,11,2,1
SOIHMRM12A6D4F89CC,Check 1_2,EPMD,Out Of Business,1999,200.265,0.0,1,1,1,1
SOUUOFU12AB018157C,Start Moving,Sal Mineo,Backline Volume 46,0,161.47,0.0,0,0,2,1
SOQERJP12A8C14130F,Everyone (LP Version),Socialburn,Where You Are,2003,91.231,0.0,9,9,0,1
SOFAICL12AB018F914,Thug Love,X-Raided featuring Teddy Bear_ Big Pook_ T-Nutty,X-Filez V.3: The Madman Era,0,130.421,0.0,5,1,1,0
SOLPVLB12AB01879CB,Mean Old World Blues,T-Bone Walker,My Baby Left Me,1983,87.056,0.0,1,0,2,1
SOPOJSW12AC468C5D5,Ville Eyolf,Black Debbath,Naar Vi D\xc3\xb8de Rocker,2006,84.157,0.0,4,6,0,1
SOXNNAL12AB0182E8A,Show a Sign of Life,High Strung_ The,These Are Good Times,2003,155.524,0.0,0,7,1,1
SONBZRB12A6D4FA945,What Woman Really Wear To Bed,Steve Harvey,Live ... Down South Somewhere,0,71.229,0.0,11,5,2,0
SOKIDCN12AB01828E0,Gail Wakes Up,Michael Whalen,The Shape Of Life,0,163.12,0.0,0,0,2,1
SOZCFCW12A8C145A3A,The Preacher & the Funeral,LaWanda Page,Mutha Is Half a Word,0,105.395,0.0,5,1,2,1
SOMNOUE12A8C130DDE,Reminisce For A While (Sung With Raul Malo),Neil Diamond,Tennessee Moon,1996,91.302,0.0,5,0,0,1
SOWNIIQ12AC468CB58,N'ayez crainte mesdames,Fred Merpol,En vrai,0,101.954,0.0,7,0,0,0
SOEGCGK12A6D4FB978,I Could Use Another You (Digital Re-Recording),Eddy Raven,The Very Best Of Eddy Raven,0,118.704,0.0,9,9,0,1
SOLHEQX12A8C135403,Honey,Mariah Carey Featuring Da Brat & JD,The Remixes,1997,95.138,0.0,4,1,1,1
SOCXWEG12A6D4FBEA3,I Am Fred Astaire (Album Version),Taking Back Sunday,Where You Want To Be,2004,147.745,0.0,7,2,0,1
SOIFHTU12AC46867F6,Stand (Album Version),Kiss,Sonic Boom,0,126.418,0.0,8,1,0,1
