,emotion,quote
0,happiness,"There is only one happiness in this life, to love and be loved."
1,happiness,Life is full of happiness and tears; be strong and have faith.
2,happiness,"Friends show their love in times of trouble, not in happiness."
3,happiness,Be happy for this moment. This moment is your life.
4,happiness,Happiness is not something you postpone for the future; it is something you design for the present.
5,happiness,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it."
6,happiness,Happiness radiates like the fragrance from a flower and draws all good things towards you.
7,happiness,"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!"
8,happiness,Love is when the other person's happiness is more important than your own.
9,happiness,"Let us never know what old age is. Let us know the happiness time brings, not count the years."
10,happiness,The secret to happiness is freedom... And the secret to freedom is courage.
11,happiness,"Happiness is having a large, loving, caring, close-knit family in another city."
12,happiness,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him."
13,happiness,"Every day is a new day, and you'll never be able to find happiness if you don't move on."
14,happiness,Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.
15,happiness,"Happiness doesn't depend on any external conditions, it is governed by our mental attitude."
16,happiness,"Happiness is a choice. You can choose to be happy. There's going to be stress in life, but it's your choice whether you let it affect you or not."
17,happiness,"A grateful heart is a beginning of greatness. It is an expression of humility. It is a foundation for the development of such virtues as prayer, faith, courage, contentment, happiness, love, and well-being."
18,happiness,"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you."
19,happiness,The best way to pay for a lovely moment is to enjoy it.
20,happiness,Happiness lies in the joy of achievement and the thrill of creative effort.
21,happiness,Happiness is the natural flower of duty.
22,happiness,The most simple things can bring the most happiness.
23,happiness,Family and friendships are two of the greatest facilitators of happiness.
24,happiness,"Happiness cannot be traveled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude."
25,happiness,"If you want others to be happy, practice compassion. If you want to be happy, practice compassion."
26,fear,"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'"
