id,created_at,text
1046039357038243841,2018-09-29 14:09:51,b'It was a great honour to be asked by @PORTERmagazine to pay the deepest respect to the legacy of Dr Savita Halappan\xe2\x80\xa6 https://t.co/bj0s6uQ47v'
1044570051570016256,2018-09-25 12:51:22,"b'Fellow Londoners, @TRAID revealed in their new study that 23% of London\xe2\x80\x99s clothes are unworn. \xf0\x9f\x97\xa3\xf0\x9f\x86\x93 TRAID offers *free\xe2\x80\xa6 https://t.co/IRZZNtlaco'"
1039926177211678720,2018-09-12 17:18:16,b'SP\xf0\x9f\x8e\x83\xf0\x9f\x8e\x83KY TREAT \xf0\x9f\x93\x9a Sept/Oct @oursharedshelf members\xe2\x80\x99 choice winner is Rebecca by @D_DuMaurier.\n\nIt\xe2\x80\x99s a gothic thriller\xe2\x80\xa6 https://t.co/I0z93sm8dU'
1037377460734582784,2018-09-05 16:30:34,"b'\xf0\x9f\x93\xbd\xf0\x9f\x8e\x9e\xf0\x9f\x92\x9e Sending all the love for your upcoming American tour, @rupikaur_ (Details here: https://t.co/AZiJWNSZKc)\n\nOur f\xe2\x80\xa6 https://t.co/3W4U4cRnNb'"
1035626500345815041,2018-08-31 20:32:53,"b'RT @bectu: TV industry challenged to support new talent: \xe2\x80\x9cAs they enlighten you, with TV stories you can\xe2\x80\x99t film or write without them, enli\xe2\x80\xa6'"
1035252415665070080,2018-08-30 19:46:24,b'RT @guardian: BFI London film festival: 38% of films directed by women https://t.co/TSkGkdy2O8'
1033031373190094848,2018-08-24 16:40:46,b'W\xf0\x9f\x98\x8dW\xe2\x9d\x97\n\xf0\x9f\x92\xa5 @FilmmakerJulie &amp; @Betsywest \xf0\x9f\x92\xa5 directors of @RBGmovie - a documentary about \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x96 Supreme Court Justice Ruth\xe2\x80\xa6 https://t.co/lc27PS6HWY'
1031573043615879168,2018-08-20 16:05:53,"b'\xf0\x9f\x92\xab Got to meet @rupikaur_ \xf0\x9f\x8c\xbb So excited for @OurSharedShelf to hear our interview!\n\nRupi, \nI think I first said I was\xe2\x80\xa6 https://t.co/4rp7otahH4'"
1031224748099952641,2018-08-19 17:01:53,b'RT @Cambridge_Uni: What a morning! The launch of the Stormzy scholarship on #alevelresultsday2018 . See behind-the-scenes when he met our s\xe2\x80\xa6'
1030874916478963712,2018-08-18 17:51:47,"b'RT @peaceofseoul: A quick Hermione, living her best life\xe2\x9c\xa8 https://t.co/I7hTUja1Jx'"
1030609946667364352,2018-08-18 00:18:53,b'\xe2\x9c\xa8\xf0\x9f\x8e\xa5 Went to see my #TimesUp sisters @ConstanceWu and @gemma_chan in #CrazyRichAsians today. Their performances were\xe2\x80\xa6 https://t.co/o8HolTJjZ3'
1030511219243999233,2018-08-17 17:46:35,"b""RT @equalitynow: BREAKING: The prosecutor in #JusticeForNoura's case has filed a petition for the death penalty to be reinstated. Noura als\xe2\x80\xa6"""
1025342828711477249,2018-08-03 11:29:14,b'Calling UK orgs &amp; grassroots activists working to end harassment &amp; abuse in workplaces &amp; communities - don\xe2\x80\x99t forget\xe2\x80\xa6 https://t.co/ua1jA619mt'
1024981207216533504,2018-08-02 11:32:17,"b""Don't forget to watch @rebelparkprod's short film #LeadingLadyParts on @BBCiPlayer! Sending love to my #TimesUp sis\xe2\x80\xa6 https://t.co/5zTBrVfea3"""
1022226162473414656,2018-07-25 21:04:43,"b'RT @Commonswomequ: Our Chair, Maria Miller, introduces our new report on #sexualharassment in the workplace. We are calling on the Governme\xe2\x80\xa6'"
1020769963198566402,2018-07-21 20:38:18,"b'Hockey was a huge part of my life growing up, and I am proud to have joined @h_richardson8 and @EmilyDefroand for t\xe2\x80\xa6 https://t.co/OaVes48I6A'"
1020331558891413504,2018-07-20 15:36:15,"b'RT @NoVoFoundation: Thank you, @EmmaWatson, @MaraiLarasi, @devi_lo, @nasra_ayub for a brave, *powerful* and intergenerational kick-off to o\xe2\x80\xa6'"
1015544131228241921,2018-07-07 10:32:43,b'Sending love to everyone marching at Pride in London today! @PrideinLondon #PrideinLondon #PrideMatters'
1012059483361685505,2018-06-27 19:45:58,"b""RT @equalitynow: 'We are very pleased that Noura has won the court appeal against her death sentence...However, sentencing her to five year\xe2\x80\xa6"""
