id,created_at,text
1043537445629784065,2018-09-22 16:28:09,b'RT @GemmaAnneStyles: Have you seen Thomas Jones? Contact West Mercia Police on 101 https://t.co/S1iRoqjxhu'
1021666343861477377,2018-07-24 08:00:12,"b'Wow, Eight years has passed. Thank you for all the love, thank you for all the support. Thank you for everything. \nI love you. H'"
1018944588357165056,2018-07-16 19:44:55,"b'Thank you to my band, the crew, and all the of you for making this tour so wonderful. Treat people with kindness. Goodbye for now.'"
1018944398820687872,2018-07-16 19:44:10,"b""Thank you for coming out to see us, it's been a pleasure playing for you all. I hope I'll be seeing you again very\xe2\x80\xa6 https://t.co/9pwyJZRMCW"""
1018941659826946048,2018-07-16 19:33:17,"b""Thank you @KaceyMusgraves for playing with us for the last several weeks. We've all loved watching you. Travel safe. Thank you. H"""
1018690873708589056,2018-07-16 02:56:45,"b'Los Angeles Two, Live On Tour. https://t.co/mKYBnsDfRf'"
1018212090283155462,2018-07-14 19:14:14,"b'Los Angeles One, Live On Tour. https://t.co/0UltbqSO1h'"
1017835790527709184,2018-07-13 18:18:57,"b'San Jose, Live On Tour. https://t.co/jrfiyDNumd'"
1016800295953707008,2018-07-10 21:44:16,"b'Sacramento, Live On Tour. https://t.co/rcPfOMfF85'"
1016136462696189952,2018-07-09 01:46:26,"b'Seattle, Live On Tour. https://t.co/H7U7W1wCBN'"
1015732564261199872,2018-07-07 23:01:29,"b'Vancouver, Live On Tour. https://t.co/Khk95DfmDh'"
1015308503227891712,2018-07-06 18:56:25,"b'Denver, Live On Tour. https://t.co/lccj5H8Y1p'"
1013878316875505669,2018-07-02 20:13:22,"b'Minneapolis-Saint Paul, Live On Tour. https://t.co/8mQ4qPiBPD'"
1013520669756100608,2018-07-01 20:32:12,"b'Chicago, Live On Tour. https://t.co/7XTPtGfecV'"
1012705851046387715,2018-06-29 14:34:24,"b'Indianapolis, Live On Tour. https://t.co/k0osV3zXVC'"
1012116171561160704,2018-06-27 23:31:14,"b'Detroit, Live On Tour. https://t.co/B7qDNZ9ByJ'"
1011417062021873664,2018-06-26 01:13:13,"b'Washington, D.C. Live On Tour. https://t.co/thTmcydLEC'"
1010690908176580609,2018-06-24 01:07:44,"b'New York City Two, Live On Tour. https://t.co/s9WgfJMs73'"
1010188993059700736,2018-06-22 15:53:19,"b'New York City One, Live On Tour. https://t.co/WjrUuSPgDz'"
